Shot number,"Striking velocity Vs (m/s)","Penetration (mm)","Mass (g)","Hardness Rc","Target length (m)",P/L,Penetrator
1-0426,794,103,20.908,52.9,0.154,1.73693086,AerMet
1-0424,1076,160,20.89,53.1,0.23,2.698145025,AerMet
1-0425,1255,229,20.906,53.1,0.277,3.861720067,AerMet
4-1840,1348,254,20.914,53.2,0.349,4.283305228,AerMet
4-1841,1538,332,20.889,53.8,0.406,5.598650927,AerMet
4-1842,1654,389,20.873,53.4,0.406,6.559865093,AerMet
4-1843,1786,452,20.912,53,0.47,7.622259696,AerMet
8-0117,1816,398,20.788,53.5,0.559,6.71163575,AerMet
4-1844,1817,462,20.916,53.3,0.559,7.790893761,AerMet
8-0118,1916,281,20.88,53,0.559,4.738617201,AerMet
8-0123,2042,285,20.959,53.3,0.254,4.806070826,AerMet
8-0121,2438,168,20.872,53,0.305,2.833052277,AerMet
8-0120,2493,168,20.868,53.5,0.305,2.833052277,AerMet
8-0119,2963,172,20.912,53.1,0.305,2.900505902,AerMet
1-0415,569,58,20.38,38.2,0.127,0.978077572,VAR
4-1805,570,55,20.427,38.1,0.141,0.927487352,VAR
4-1806,679,72,20.412,38.1,0.14,1.214165261,VAR
4-1796,821,102,20.415,38.9,0.167,1.720067454,VAR
4-1797,966,140,20.415,38,0.229,2.360876897,VAR
1-0412,1147,190,20.41,38.3,0.248,3.204047218,VAR
4-1798,1237,224,20.379,38,0.267,3.777403035,VAR
4-1892,1365,249,20.824,39.2,0.343,4.198988196,VAR
4-1799,1396,249,20.418,38,0.289,4.198988196,VAR
4-1800,1493,277,20.383,38,0.338,4.671163575,VAR
4-1810,1571,216,20.48,38.2,0.292,3.642495784,VAR
4-1801,1585,105,20.414,38,0.363,1.770657673,VAR
4-1831,1648,109,20.437,37.7,0.267,1.838111298,VAR
4-1808,1770,142,20.444,37.9,0.244,2.39460371,VAR
4-1832,1977,123,20.456,39.5,0.216,2.074198988,VAR
4-1809,2166,124,20.432,37.9,0.235,2.091062395,VAR
8-0113,2193,126,20.423,38.4,0.244,2.124789207,VAR
4-1833,2204,121,20.452,39.4,0.216,2.040472175,VAR
8-0112,2570,144,20.367,38.2,0.243,2.428330523,VAR
8-0104,2988,147,20.39,38.9,0.305,2.478920742,VAR
