Shot number,"Striking velocity Vs (m/s)","Penetration (mm)","Mass (g)","Hardness Rc","Target length (m)",P/L
1-0415,569,58,20.38,38.2,0.127,0.978077572
4-1805,570,55,20.427,38.1,0.141,0.927487352
4-1806,679,72,20.412,38.1,0.14,1.214165261
4-1796,821,102,20.415,38.9,0.167,1.720067454
4-1797,966,140,20.415,38,0.229,2.360876897
1-0412,1147,190,20.41,38.3,0.248,3.204047218
4-1798,1237,224,20.379,38,0.267,3.777403035
4-1892,1365,249,20.824,39.2,0.343,4.198988196
4-1799,1396,249,20.418,38,0.289,4.198988196
4-1800,1493,277,20.383,38,0.338,4.671163575
4-1810,1571,216,20.48,38.2,0.292,3.642495784
4-1801,1585,105,20.414,38,0.363,1.770657673
4-1831,1648,109,20.437,37.7,0.267,1.838111298
4-1808,1770,142,20.444,37.9,0.244,2.39460371
4-1832,1977,123,20.456,39.5,0.216,2.074198988
4-1809,2166,124,20.432,37.9,0.235,2.091062395
8-0113,2193,126,20.423,38.4,0.244,2.124789207
4-1833,2204,121,20.452,39.4,0.216,2.040472175
8-0112,2570,144,20.367,38.2,0.243,2.428330523
8-0104,2988,147,20.39,38.9,0.305,2.478920742
