Shot number,Target length (mm),Projectile mass m(g),Projectile hardness Rc,Striking velocity Vs (m/s),"Pitch, yaw (degrees)",Penetration depth P (mm),Projectile length change ?L (mm),,,,
1-0409,184,22.84,45.6,909,"0.5 U, 0",109.6,0.5,,,,
1-0407,197,22.81,45.8,1086,"0, 0",126.3,6.4,,,,
1-0411,203,22.81,46.1,1174,"0.5 U, 0.5 L",67.5,,,,,
1-0408,208,22.82,45.9,1174,"0, 0.5 R",66.5,,,,,
1-0410,156,22.84,45.6,1284,"0.5 U, 0",78.8,,,,,
4-1828,151,22.82,45.4,1411,"1.25 D, 0.75 R",106.1,,,,,
4-1838,254,22.77,45.8,1813,"1.75 U, 0.75 L",120.0,,,,,
4-1834,214,22.83,46.6,2255,"4.0 D, 5.0 R",137.4,,,,,
8-0115,240,22.70,46.7,2787,"3.25 D, 4.75 L",159.0,,,,,

