Shot number,Target length (mm),Projectile mass m(g),Projectile hardness Rc,Striking velocity Vs (m/s),"Pitch, yaw (degrees)",Penetration depth P (mm),Projectile length change ?L (mm),,,,
1-0413,114,22.86,39.3,496,"0, 0.25 R",37.6,0.8,,,,
1-0416,121,22.83,38.6,572,"1.25 U, 0",48.1,1.2,,,,
1-0405,124,22.84,39.7,781,"1.5 D, 2.5 R",72.7,4.6,,,,
1-0417,152,22.84,40.0,821,"0.75 d, 1.5 L",84.3,4.0,,,,
1-0400,178,22.83,39.3,841,"0, 0",91.4,2.5,,,,
1-0402,178,22.84,39.3,932,"0.5 D, 0.5 L",96.5,6.6,,,,
1-0403,178,22.84,39.7,967,"0, 0.25 L",94.4,10.2,,,,
1-0404,178,22.84,39.6,1037,"0, 0.5 L",64.6,,,,,
1-0.406,175,22.85,39.4,1193,"0.25 U, 1.0 L",50.7,,,,,
1-0397,297,22.83,39.4,1337,"0.5 D, 0.25 R",61.8,,,,,
4-1827,178,22.84,39.7,1515,"0.75 D, 1.25 L",76.0,,,,,
4-1826,190,22.85,39.7,1802,"2.5 D, 1.0 R",94.3,,,,,
4-1825,216,22.83,39.7,2052,"0.25 D, 1.0 R",113.9,,,,,
8-0107,241,22.85,39.6,2204,"1.5 D, 0.9 L",124.6,,,,,
8-0116,241,22.84,40.2,2777,"2.75 D, 3.0 L",147.0,,,,,
8-0105,241,22.84,39.0,3075,"301 D, 4.25 L",151.0,,,,,

